lambda-u utility-finmean utility-stderrfinmean
0.0 9.136837732540599 0.24307741045065173
0.1 8.947289988053365 0.2878304973956959
0.2 8.75774224356613 0.3585393611129184
0.3 8.568194499078892 0.4429434074235808
0.4 8.378646754591655 0.5345947636942506
0.5 8.189099010104417 0.6303400439724246
0.6 7.9995512656171845 0.7285670121392753
0.7 7.810003521129946 0.8283933376099128
0.8 7.6204557766427135 0.9293037516829347
0.9 7.430908032155475 1.0309799777221724
1.0 7.241360287668239 1.1332159002205147
