lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.360782979999998 0.09596363155888898 10.0 rrtconnect-default-sc10.00
0.1 6.551322662214094 0.11245940913812874 4.0 rrtconnect-default-sc04.00
0.2 6.567264904428191 0.11717143250349134 4.0 rrtconnect-default-sc04.00
0.3 6.426712540642284 0.15413400094405494 2.5 rrtconnect-default-sc02.50
0.4 6.250725440856375 0.16629649985384962 2.5 rrtconnect-default-sc02.50
0.5 6.0292664610704705 0.21370027117493162 1.6 rrtconnect-default-sc01.60
0.6 5.682373737284565 0.22432846814369004 1.6 rrtconnect-default-sc01.60
0.7 5.263059599498657 0.2821080322093664 0.63 rrtconnect-default-sc00.63
0.8 4.429298373712752 0.29231142941093496 0.0 rrtconnect-default-sc00.00
0.9 3.562050607926847 0.2924076495025863 0.0 rrtconnect-default-sc00.00
1.0 2.6948028421409393 0.29691584327517795 0.0 rrtconnect-default-sc00.00
