lambda-u utility-finmean utility-stderrfinmean
0.0 10.483396480000001 0.5047906811677945
0.1 9.770307309314042 0.4635392427719972
0.2 9.05721813862808 0.42279086874683386
0.3 8.344128967942117 0.38270628308409493
0.4 7.631039797256159 0.3435179337948159
0.5 6.9179506265701995 0.30557083282857794
0.6 6.204861455884241 0.2693900299244889
0.7 5.491772285198281 0.2357900207391282
0.8 4.77868311451232 0.2060373045054585
0.9 4.065593943826358 0.1820282921028121
1.0 3.3525047731403985 0.16627001748401152
