problem planner-seedless param path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean e8-dur-total-num e8-dur-total-numinf e8-dur-total-numfin e8-dur-total-finmean e8-dur-total-stderrfinmean e8-dur-roadmapgen-num e8-dur-roadmapgen-numinf e8-dur-roadmapgen-numfin e8-dur-roadmapgen-finmean e8-dur-roadmapgen-stderrfinmean e8-dur-search-num e8-dur-search-numinf e8-dur-search-numfin e8-dur-search-finmean e8-dur-search-stderrfinmean e8-dur-eval-num e8-dur-eval-numinf e8-dur-eval-numfin e8-dur-eval-finmean e8-dur-eval-stderrfinmean utility0.00cc-num utility0.00cc-numinf utility0.00cc-numfin utility0.00cc-finmean utility0.00cc-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.10cc-num utility0.10cc-numinf utility0.10cc-numfin utility0.10cc-finmean utility0.10cc-stderrfinmean utility0.10time-num utility0.10time-numinf utility0.10time-numfin utility0.10time-finmean utility0.10time-stderrfinmean utility0.20cc-num utility0.20cc-numinf utility0.20cc-numfin utility0.20cc-finmean utility0.20cc-stderrfinmean utility0.20time-num utility0.20time-numinf utility0.20time-numfin utility0.20time-finmean utility0.20time-stderrfinmean utility0.30cc-num utility0.30cc-numinf utility0.30cc-numfin utility0.30cc-finmean utility0.30cc-stderrfinmean utility0.30time-num utility0.30time-numinf utility0.30time-numfin utility0.30time-finmean utility0.30time-stderrfinmean utility0.40cc-num utility0.40cc-numinf utility0.40cc-numfin utility0.40cc-finmean utility0.40cc-stderrfinmean utility0.40time-num utility0.40time-numinf utility0.40time-numfin utility0.40time-finmean utility0.40time-stderrfinmean utility0.50cc-num utility0.50cc-numinf utility0.50cc-numfin utility0.50cc-finmean utility0.50cc-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.60cc-num utility0.60cc-numinf utility0.60cc-numfin utility0.60cc-finmean utility0.60cc-stderrfinmean utility0.60time-num utility0.60time-numinf utility0.60time-numfin utility0.60time-finmean utility0.60time-stderrfinmean utility0.70cc-num utility0.70cc-numinf utility0.70cc-numfin utility0.70cc-finmean utility0.70cc-stderrfinmean utility0.70time-num utility0.70time-numinf utility0.70time-numfin utility0.70time-finmean utility0.70time-stderrfinmean utility0.80cc-num utility0.80cc-numinf utility0.80cc-numfin utility0.80cc-finmean utility0.80cc-stderrfinmean utility0.80time-num utility0.80time-numinf utility0.80time-numfin utility0.80time-finmean utility0.80time-stderrfinmean utility0.90cc-num utility0.90cc-numinf utility0.90cc-numfin utility0.90cc-finmean utility0.90cc-stderrfinmean utility0.90time-num utility0.90time-numinf utility0.90time-numfin utility0.90time-finmean utility0.90time-stderrfinmean utility1.00cc-num utility1.00cc-numinf utility1.00cc-numfin utility1.00cc-finmean utility1.00cc-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
herbbookshelf2 bitstar-default-sc00.00 0.0 50 0 50 8.29537900619 0.25019431565658523 50 0 50 6133.46 718.6627230900344 50 0 50 5.44202961444978 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.29537900619 0.25019431565658523 50 0 50 8.29537900619 0.25019431565658523 50 0 50 19.732761105570997 1.5027116497037845 50 0 50 8.01004406701598 0.24866881937549054 50 0 50 31.170143204951998 2.9249437941607765 50 0 50 7.724709127841959 0.26168752419329333 50 0 50 42.60752530433301 4.353625946968731 50 0 50 7.439374188667932 0.2872798833077464 50 0 50 54.044907403714 5.783980494738436 50 0 50 7.154039249493914 0.3224659591868436 50 0 50 65.48228950309499 7.215012864242556 50 0 50 6.868704310319889 0.3644777781447748 50 0 50 76.91967160247599 8.646386510510155 50 0 50 6.583369371145869 0.41122864580971746 50 0 50 88.35705370185698 10.077956019816419 50 0 50 6.298034431971847 0.4612798932900915 50 0 50 99.79443580123794 11.509648308087073 50 0 50 6.012699492797824 0.513667668068591 50 0 50 111.23181790061899 12.941422626768079 50 0 50 5.727364553623803 0.5677455406521588 50 0 50 122.66919999999999 14.373254461800691 50 0 50 5.44202961444978 0.623073604871753
herbbookshelf2 bitstar-default-sc00.10 0.1 50 0 50 8.29537900619 0.25019431565658523 50 0 50 6133.46 718.6627230900344 50 0 50 5.542029614449781 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.29537900619 0.25019431565658523 50 0 50 8.29537900619 0.25019431565658523 50 0 50 19.732761105570997 1.5027116497037845 50 0 50 8.020044067015977 0.2486688193754905 50 0 50 31.170143204951998 2.9249437941607765 50 0 50 7.744709127841958 0.2616875241932934 50 0 50 42.60752530433301 4.353625946968731 50 0 50 7.469374188667937 0.28727988330774634 50 0 50 54.044907403714 5.783980494738436 50 0 50 7.194039249493913 0.3224659591868437 50 0 50 65.48228950309499 7.215012864242556 50 0 50 6.918704310319892 0.3644777781447748 50 0 50 76.91967160247599 8.646386510510155 50 0 50 6.6433693711458695 0.4112286458097174 50 0 50 88.35705370185698 10.077956019816419 50 0 50 6.3680344319718465 0.4612798932900915 50 0 50 99.79443580123794 11.509648308087073 50 0 50 6.0926994927978235 0.513667668068591 50 0 50 111.23181790061899 12.941422626768079 50 0 50 5.817364553623804 0.5677455406521588 50 0 50 122.66919999999999 14.373254461800691 50 0 50 5.542029614449781 0.623073604871753
herbbookshelf2 bitstar-default-sc00.16 0.16 50 0 50 8.29537900619 0.25019431565658523 50 0 50 6133.46 718.6627230900344 50 0 50 5.602029614449783 0.6230736048717531 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.29537900619 0.25019431565658523 50 0 50 8.29537900619 0.25019431565658523 50 0 50 19.732761105570997 1.5027116497037845 50 0 50 8.02604406701598 0.24866881937549054 50 0 50 31.170143204951998 2.9249437941607765 50 0 50 7.756709127841958 0.2616875241932934 50 0 50 42.60752530433301 4.353625946968731 50 0 50 7.487374188667932 0.2872798833077464 50 0 50 54.044907403714 5.783980494738436 50 0 50 7.218039249493912 0.3224659591868437 50 0 50 65.48228950309499 7.215012864242556 50 0 50 6.94870431031989 0.3644777781447748 50 0 50 76.91967160247599 8.646386510510155 50 0 50 6.67936937114587 0.41122864580971746 50 0 50 88.35705370185698 10.077956019816419 50 0 50 6.410034431971846 0.4612798932900915 50 0 50 99.79443580123794 11.509648308087073 50 0 50 6.140699492797824 0.513667668068591 50 0 50 111.23181790061899 12.941422626768079 50 0 50 5.871364553623802 0.5677455406521588 50 0 50 122.66919999999999 14.373254461800691 50 0 50 5.602029614449783 0.6230736048717531
herbbookshelf2 bitstar-default-sc00.25 0.25 50 0 50 8.29537900619 0.25019431565658523 50 0 50 6133.46 718.6627230900344 50 0 50 5.692029614449779 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.29537900619 0.25019431565658523 50 0 50 8.29537900619 0.25019431565658523 50 0 50 19.732761105570997 1.5027116497037845 50 0 50 8.03504406701598 0.24866881937549054 50 0 50 31.170143204951998 2.9249437941607765 50 0 50 7.774709127841952 0.2616875241932933 50 0 50 42.60752530433301 4.353625946968731 50 0 50 7.514374188667932 0.28727988330774634 50 0 50 54.044907403714 5.783980494738436 50 0 50 7.254039249493912 0.3224659591868436 50 0 50 65.48228950309499 7.215012864242556 50 0 50 6.993704310319889 0.3644777781447748 50 0 50 76.91967160247599 8.646386510510155 50 0 50 6.733369371145866 0.4112286458097174 50 0 50 88.35705370185698 10.077956019816419 50 0 50 6.473034431971846 0.46127989329009145 50 0 50 99.79443580123794 11.509648308087073 50 0 50 6.212699492797823 0.513667668068591 50 0 50 111.23181790061899 12.941422626768079 50 0 50 5.952364553623803 0.5677455406521589 50 0 50 122.66919999999999 14.373254461800691 50 0 50 5.692029614449779 0.623073604871753
herbbookshelf2 bitstar-default-sc00.40 0.4 50 0 50 8.29537900619 0.25019431565658523 50 0 50 6133.46 718.6627230900344 50 0 50 5.842029614449782 0.6230736048717531 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.29537900619 0.25019431565658523 50 0 50 8.29537900619 0.25019431565658523 50 0 50 19.732761105570997 1.5027116497037845 50 0 50 8.050044067015978 0.24866881937549046 50 0 50 31.170143204951998 2.9249437941607765 50 0 50 7.804709127841957 0.2616875241932934 50 0 50 42.60752530433301 4.353625946968731 50 0 50 7.559374188667932 0.28727988330774634 50 0 50 54.044907403714 5.783980494738436 50 0 50 7.314039249493913 0.3224659591868437 50 0 50 65.48228950309499 7.215012864242556 50 0 50 7.06870431031989 0.36447777814477483 50 0 50 76.91967160247599 8.646386510510155 50 0 50 6.823369371145872 0.41122864580971746 50 0 50 88.35705370185698 10.077956019816419 50 0 50 6.5780344319718465 0.4612798932900915 50 0 50 99.79443580123794 11.509648308087073 50 0 50 6.332699492797823 0.513667668068591 50 0 50 111.23181790061899 12.941422626768079 50 0 50 6.087364553623801 0.5677455406521588 50 0 50 122.66919999999999 14.373254461800691 50 0 50 5.842029614449782 0.6230736048717531
herbbookshelf2 bitstar-default-sc00.63 0.63 50 0 50 8.2781769370542 0.2543689258766031 50 0 50 6148.46 716.6895347017565 50 0 50 6.07202961444978 0.6230736048717531 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.2781769370542 0.2543689258766031 50 0 50 8.2781769370542 0.2543689258766031 50 0 50 19.747279243348782 1.5003532532526416 50 0 50 8.05756220479376 0.2526481645859303 50 0 50 31.21638154964335 2.9181920529587138 50 0 50 7.836947472533317 0.26522026511816865 50 0 50 42.685483855937946 4.342701747837219 50 0 50 7.616332740272876 0.29023375464227746 50 0 50 54.154586162232505 5.76894277339418 50 0 50 7.395718008012433 0.3248270693489777 50 0 50 65.62368846852709 7.195885742147166 50 0 50 7.175103275751988 0.36629601004328055 50 0 50 77.09279077482168 8.62318219363874 50 0 50 6.954488543491546 0.4125724885509194 50 0 50 88.56189308111625 10.050681534833895 50 0 50 6.7338738112311045 0.46221477582208426 50 0 50 100.03099538741078 11.478308068871707 50 0 50 6.513259078970666 0.5142490534858674 50 0 50 111.5000976937054 12.90601958670879 50 0 50 6.2926443467102215 0.5680183345435701 50 0 50 122.96919999999999 14.333790694035134 50 0 50 6.07202961444978 0.6230736048717531
herbbookshelf2 bitstar-default-sc01.00 1.0 50 0 50 8.163322712497 0.24700773301170298 50 0 50 6170.3 717.0418330949482 50 0 50 6.442029614449779 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.163322712497 0.24700773301170298 50 0 50 8.163322712497 0.24700773301170298 50 0 50 19.6875904412473 1.4988571510120838 50 0 50 7.991193402692277 0.24596861191862196 50 0 50 31.21185816999759 2.9181004299541513 50 0 50 7.819064092887556 0.25956390071677554 50 0 50 42.736125898747915 4.343641893692804 50 0 50 7.646934783082835 0.28571209579922263 50 0 50 54.26039362749819 5.770815982439043 50 0 50 7.474805473278113 0.3213635129276531 50 0 50 65.78466135624849 7.198651729795702 50 0 50 7.302676163473389 0.3637344303485183 50 0 50 77.3089290849988 8.626820606213707 50 0 50 7.130546853668669 0.41075063825301844 50 0 50 88.83319681374907 10.055180666595815 50 0 50 6.9584175438639475 0.46099301562399453 50 0 50 100.35746454249933 11.483660571662561 50 0 50 6.786288234059226 0.5135154882839353 50 0 50 111.88173227124967 12.912220546196469 50 0 50 6.614158924254501 0.5676855428715921 50 0 50 123.40599999999999 14.340836661898958 50 0 50 6.442029614449779 0.623073604871753
herbbookshelf2 bitstar-default-sc01.60 1.6 50 0 50 7.910919665697398 0.2505335822622328 50 0 50 6301.8 713.3352790996414 50 0 50 7.042029614449779 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 7.910919665697398 0.2505335822622328 50 0 50 7.910919665697398 0.2505335822622328 50 0 50 19.72342769912766 1.4931992202286832 50 0 50 7.824030660572638 0.2492231126242436 50 0 50 31.535935732557917 2.9045970703019792 50 0 50 7.737141655447878 0.26236441053092974 50 0 50 43.348443765988186 4.322486294297187 50 0 50 7.6502526503231145 0.2879858468441193 50 0 50 55.16095179941844 5.742060151377038 50 0 50 7.5633636451983515 0.32313225167717835 50 0 50 66.97345983284869 7.162317026894445 50 0 50 7.476474640073591 0.365062866075911 50 0 50 78.78596786627897 8.58291786046662 50 0 50 7.389585634948826 0.41171006828022827 50 0 50 90.59847589970921 10.00371611949063 50 0 50 7.302696629824066 0.46164629802611695 50 0 50 102.41098393313942 11.42463814714765 50 0 50 7.215807624699304 0.5139136782196819 50 0 50 114.22349196656972 12.84564287146544 50 0 50 7.128918619574543 0.5678688870359988 50 0 50 126.036 14.266705581992829 50 0 50 7.042029614449779 0.623073604871753
herbbookshelf2 bitstar-default-sc02.50 2.5 50 0 50 7.8193975318686 0.25687760854346736 50 0 50 6550.06 696.8519553546738 50 0 50 7.942029614449779 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 7.8193975318686 0.25687760854346736 50 0 50 7.8193975318686 0.25687760854346736 50 0 50 20.137577778681738 1.458881502064547 50 0 50 7.831660740126718 0.2552711330603149 50 0 50 32.45575802549488 2.8367915296850783 50 0 50 7.843923948384839 0.26773905286234906 50 0 50 44.77393827230802 4.221745959108827 50 0 50 7.856187156642951 0.2924870132710222 50 0 50 57.09211851912115 5.608528641109201 50 0 50 7.868450364901074 0.32673645172772386 50 0 50 69.4102987659343 6.996052451744806 50 0 50 7.88071357315919 0.36784285815261936 50 0 50 81.72847901274743 8.383949433979108 50 0 50 7.892976781417309 0.4137676052459851 50 0 50 94.04665925956057 9.772060587716622 50 0 50 7.905239989675424 0.46307936410398526 50 0 50 106.36483950637364 11.16030599773242 50 0 50 7.917503197933544 0.5148057567838089 50 0 50 118.68301975318687 12.548641106134632 50 0 50 7.929766406191663 0.5682878147799699 50 0 50 131.00119999999998 13.937039107093481 50 0 50 7.942029614449779 0.623073604871753
herbbookshelf2 bitstar-default-sc04.00 4.0 50 0 50 7.5259316574674 0.26215273856834487 50 0 50 7517.88 700.2665863448151 50 0 50 9.442029614449778 0.623073604871753 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 7.5259316574674 0.26215273856834487 50 0 50 7.5259316574674 0.26215273856834487 50 0 50 21.809098491720658 1.4604184101228457 50 0 50 7.717541453165637 0.2622997806443784 50 0 50 36.09226532597392 2.845272903490855 50 0 50 7.909151248863876 0.27561037760558593 50 0 50 50.37543216022716 4.237569108165613 50 0 50 8.100761044562113 0.30033943179725325 50 0 50 64.65859899448044 5.631790486696607 50 0 50 8.29237084026035 0.3339599632759875 50 0 50 78.9417658287337 7.026791181900882 50 0 50 8.483980635958588 0.37408224841724236 50 0 50 93.22493266298692 8.422183958478957 50 0 50 8.675590431656824 0.41884196162884463 50 0 50 107.50809949724018 9.817801639639457 50 0 50 8.867200227355063 0.46690731177814765 50 0 50 121.79126633149343 11.213560252149222 50 0 50 9.058810023053303 0.5173577828672269 50 0 50 136.0744331657467 12.609412996261213 50 0 50 9.25041981875154 0.5695599195214565 50 0 50 150.3576 14.005331726896301 50 0 50 9.442029614449778 0.623073604871753
