lambda-u utility-finmean utility-stderrfinmean
0.0 6.9225859736311985 0.16686186834811303
0.1 6.42723749389427 0.15676795058173038
0.2 5.93188901415734 0.14749158466820722
0.3 5.43654053442041 0.13919631734946242
0.4 4.941192054683478 0.13206714949879014
0.5 4.445843574946549 0.126301699066915
0.6 3.95049509520962 0.12209331019762532
0.7 3.4551466154726893 0.11960645300404064
0.8 2.9597981357357606 0.11894915217340664
0.9 2.4644496559988296 0.12015143778876279
1.0 1.9691011762618995 0.12315886163817791
