lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.864483239999999 0.1894169325570415 10.0 rrtconnect-default-sc10.00
0.1 12.452328780501043 1.4378322793968021 4.0 rrtconnect-default-sc04.00
0.2 19.443517301002085 2.7094598324884696 4.0 rrtconnect-default-sc04.00
0.3 26.735292203503118 4.016167117391017 2.5 rrtconnect-default-sc02.50
0.4 33.469254098004164 5.28974964645079 2.5 rrtconnect-default-sc02.50
0.5 40.20321599250521 6.5652782916420485 2.5 rrtconnect-default-sc02.50
0.6 47.021503551006234 7.867560029546945 1.6 rrtconnect-default-sc01.60
0.7 53.75481000350728 9.15770175712917 1.0 rrtconnect-default-sc01.00
0.8 59.99614767200833 10.420768106461619 0.0 rrtconnect-default-sc00.00
0.9 65.68458656850936 11.686069736914908 0.0 rrtconnect-default-sc00.00
1.0 71.3730254650104 12.951974306205484 0.0 rrtconnect-default-sc00.00
