lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.352533419917999 0.28494144346488987 10.0 bitstar-default-sc10.00
0.1 5.699966723910834 0.33398189193051064 10.0 bitstar-default-sc10.00
0.2 6.4975440953225485 0.40532078587177145 2.5 bitstar-default-sc02.50
0.3 6.921921539248261 0.5039073197237347 1.6 bitstar-default-sc01.60
0.4 7.234370386235212 0.6297248286783639 0.0 bitstar-default-sc00.00
0.5 7.333119731837071 0.7485913921202852 0.0 bitstar-default-sc00.00
0.6 7.431869077438924 0.8685462562304026 0.0 bitstar-default-sc00.00
0.7 7.530618423040778 0.9891935808626041 0.0 bitstar-default-sc00.00
0.8 7.629367768642635 1.110307658255307 0.0 bitstar-default-sc00.00
0.9 7.728117114244487 1.2317508132303616 0.0 bitstar-default-sc00.00
1.0 7.826866459846339 1.3534344646711192 0.0 bitstar-default-sc00.00
