problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2 family-ode-wrc-0.01,0.99,0 50 6.881090313856399 50 0.8927991008759999
herbbin2 family-ode-wrc-0.10,0.90,0 50 6.881090313856399 50 0.8680030775069402
herbbin2 family-ode-wrc-0.20,0.80,0 50 6.881090313856399 50 0.88826453685738
herbbin2 family-ode-wrc-0.30,0.70,0 50 6.881090313856399 50 0.9100524663925802
herbbin2 family-ode-wrc-0.40,0.60,0 50 6.881090313856399 50 0.9236850690841999
herbbin2 family-ode-wrc-0.50,0.50,0 50 6.881090313856399 50 0.9283511304858999
herbbin2 family-ode-wrc-0.60,0.40,0 50 6.881090313856399 50 0.89067877769434
herbbin2 family-ode-wrc-0.70,0.30,0 50 6.881090313856399 50 0.9185065555571802
herbbin2 family-ode-wrc-0.80,0.20,0 50 6.881090313856399 50 0.91615177631372
herbbin2 family-ode-wrc-0.90,0.10,0 50 6.881090313856399 50 0.9073926019666197
herbbin2 family-ode-wrc-1.00,0.00,0 50 5.1659529993642 50 1.0767236185073599
