problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1nom family-fcl-nrc-0.01,0.99,0 50 6.198645496065001 50 5.862899818420199
herbbin1nom family-fcl-nrc-0.10,0.90,0 50 6.198645496065001 50 5.858195261954398
herbbin1nom family-fcl-nrc-0.20,0.80,0 50 6.198645496065001 50 5.771555299759802
herbbin1nom family-fcl-nrc-0.30,0.70,0 50 6.198645496065001 50 5.874234619139801
herbbin1nom family-fcl-nrc-0.40,0.60,0 50 6.198645496065001 50 5.710453896522399
herbbin1nom family-fcl-nrc-0.50,0.50,0 50 6.198645496065001 50 5.7871452713008
herbbin1nom family-fcl-nrc-0.60,0.40,0 50 6.198645496065001 50 5.747334818839802
herbbin1nom family-fcl-nrc-0.70,0.30,0 50 6.198645496065001 50 5.868042421340402
herbbin1nom family-fcl-nrc-0.80,0.20,0 50 6.198645496065001 50 5.716709427833601
herbbin1nom family-fcl-nrc-0.90,0.10,0 50 6.198645496065001 50 5.779552669524801
herbbin1nom family-fcl-nrc-1.00,0.00,0 50 4.8068762365444 50 6.039888033866598
