problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1 family-fcl-wrc-0.01,0.99,0 50 6.062279614467801 50 12.197487230299595
herbbin1 family-fcl-wrc-0.10,0.90,0 50 6.062279614467801 50 12.172723226545598
herbbin1 family-fcl-wrc-0.20,0.80,0 50 6.062279614467801 50 12.227839970591802
herbbin1 family-fcl-wrc-0.30,0.70,0 50 6.062279614467801 50 12.19267350674
herbbin1 family-fcl-wrc-0.40,0.60,0 50 6.062279614467801 50 12.446671161655
herbbin1 family-fcl-wrc-0.50,0.50,0 50 6.062279614467801 50 12.2906740617706
herbbin1 family-fcl-wrc-0.60,0.40,0 50 6.062279614467801 50 12.315598282820801
herbbin1 family-fcl-wrc-0.70,0.30,0 50 6.062279614467801 50 12.250603284835
herbbin1 family-fcl-wrc-0.80,0.20,0 50 6.062279614467801 50 12.148625273703802
herbbin1 family-fcl-wrc-0.90,0.10,0 50 6.062279614467801 50 12.093442649838996
herbbin1 family-fcl-wrc-1.00,0.00,0 50 4.35014117783 50 21.797779598237604
