problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1nom family-fcl-wrc-0.01,0.99,0 50 6.198645496065001 50 11.979692850112999
herbbin1nom family-fcl-wrc-0.10,0.90,0 50 6.198645496065001 50 11.829011931422206
herbbin1nom family-fcl-wrc-0.20,0.80,0 50 6.198645496065001 50 11.9001587724704
herbbin1nom family-fcl-wrc-0.30,0.70,0 50 6.198645496065001 50 12.031016387940602
herbbin1nom family-fcl-wrc-0.40,0.60,0 50 6.198645496065001 50 12.170017147063602
herbbin1nom family-fcl-wrc-0.50,0.50,0 50 6.198645496065001 50 11.876714768411002
herbbin1nom family-fcl-wrc-0.60,0.40,0 50 6.198645496065001 50 11.8817542791358
herbbin1nom family-fcl-wrc-0.70,0.30,0 50 6.198645496065001 50 12.127159900669003
herbbin1nom family-fcl-wrc-0.80,0.20,0 50 6.198645496065001 50 12.050462541580998
herbbin1nom family-fcl-wrc-0.90,0.10,0 50 6.198645496065001 50 11.968507952692203
herbbin1nom family-fcl-wrc-1.00,0.00,0 50 4.8068762365444 50 17.251687264442392
