problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2nom lemur-fcl-nrc-0.01,0.99,0 50 10.770192439275997 50 11.140013771056
herbbin2nom lemur-fcl-nrc-0.10,0.90,0 50 9.916241362029199 50 11.955707511896202
herbbin2nom lemur-fcl-nrc-0.20,0.80,0 50 9.226960757470199 50 11.474545989036002
herbbin2nom lemur-fcl-nrc-0.30,0.70,0 50 8.9303190418678 50 12.898997507094201
herbbin2nom lemur-fcl-nrc-0.40,0.60,0 50 8.8164381521672 50 13.462822408678203
herbbin2nom lemur-fcl-nrc-0.50,0.50,0 50 8.7691025325038 50 13.785899043077798
herbbin2nom lemur-fcl-nrc-0.60,0.40,0 50 8.7413779231336 50 14.247267704013005
herbbin2nom lemur-fcl-nrc-0.70,0.30,0 50 8.7319424056916 50 14.785107312203598
herbbin2nom lemur-fcl-nrc-0.80,0.20,0 50 8.728823958555001 50 15.207650709145401
herbbin2nom lemur-fcl-nrc-0.90,0.10,0 50 8.7199847729392 50 15.657607684142201
herbbin2nom lemur-fcl-nrc-1.00,0.00,0 50 8.717898694657201 50 16.002406129837198
