problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2nom lemur-ode-nrc-0.01,0.99,0 50 10.770192439275997 50 11.1944487094888
herbbin2nom lemur-ode-nrc-0.10,0.90,0 50 9.916241362029199 50 11.738689293854602
herbbin2nom lemur-ode-nrc-0.20,0.80,0 50 9.226960757470199 50 11.526355042453805
herbbin2nom lemur-ode-nrc-0.30,0.70,0 50 8.9303190418678 50 12.862359185218395
herbbin2nom lemur-ode-nrc-0.40,0.60,0 50 8.8164381521672 50 13.280417046552605
herbbin2nom lemur-ode-nrc-0.50,0.50,0 50 8.7691025325038 50 13.808482480048596
herbbin2nom lemur-ode-nrc-0.60,0.40,0 50 8.7413779231336 50 14.501269659993804
herbbin2nom lemur-ode-nrc-0.70,0.30,0 50 8.7319424056916 50 14.658270668978803
herbbin2nom lemur-ode-nrc-0.80,0.20,0 50 8.728823958555001 50 15.298636846544799
herbbin2nom lemur-ode-nrc-0.90,0.10,0 50 8.7199847729392 50 15.820076756480397
herbbin2nom lemur-ode-nrc-1.00,0.00,0 50 8.717898694657201 50 16.100024347303602
