problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2nom lemur-ode-wrc-0.01,0.99,0 50 10.770192439275997 50 6.530335168838601
herbbin2nom lemur-ode-wrc-0.10,0.90,0 50 9.916241362029199 50 7.2586673355109985
herbbin2nom lemur-ode-wrc-0.20,0.80,0 50 9.226960757470199 50 7.362855067252401
herbbin2nom lemur-ode-wrc-0.30,0.70,0 50 8.9303190418678 50 8.3779384469978
herbbin2nom lemur-ode-wrc-0.40,0.60,0 50 8.8164381521672 50 8.7483162260066
herbbin2nom lemur-ode-wrc-0.50,0.50,0 50 8.7691025325038 50 9.197657537462398
herbbin2nom lemur-ode-wrc-0.60,0.40,0 50 8.7413779231336 50 9.862253303528
herbbin2nom lemur-ode-wrc-0.70,0.30,0 50 8.7319424056916 50 9.923552846911
herbbin2nom lemur-ode-wrc-0.80,0.20,0 50 8.728823958555001 50 10.520712008480398
herbbin2nom lemur-ode-wrc-0.90,0.10,0 50 8.7199847729392 50 11.090758781433804
herbbin2nom lemur-ode-wrc-1.00,0.00,0 50 8.717898694657201 50 11.415846958157601
