pathid numalready numeval_trues numeval_falses numremaining numalready_cum numevals_cum
0 0 0 1 6 0 1
1 0 0 1 6 0 2
2 0 0 1 7 0 3
3 0 0 1 7 0 4
4 0 0 1 7 0 5
5 0 0 1 7 0 6
6 0 0 1 7 0 7
7 0 0 1 8 0 8
8 0 0 1 8 0 9
9 0 2 1 6 0 12
10 0 0 1 9 0 13
11 2 0 1 7 2 14
12 0 0 1 9 2 15
13 0 0 1 10 2 16
14 2 0 1 7 4 17
15 2 8 0 0 6 25
