pathid numalready numeval_trues numeval_falses numremaining numalready_cum numevals_cum
0 0 0 1 6 0 1
1 0 1 1 5 0 3
2 1 2 1 4 1 6
3 2 1 1 4 3 8
4 3 0 1 4 6 9
5 0 1 1 6 6 11
6 1 0 1 6 7 12
7 3 0 1 4 10 13
8 2 0 1 5 12 14
9 0 1 1 6 12 16
10 3 0 1 5 15 17
11 0 0 1 7 15 18
12 3 0 1 5 18 19
13 3 0 1 5 21 20
14 3 0 1 5 24 21
15 3 2 1 3 27 24
16 1 1 1 6 28 26
17 2 0 1 7 30 27
18 4 1 1 3 34 29
19 5 5 0 0 39 34
