dumping ...
  found len: 720.2401074940195
  found len: 785.203910579703
  found len: 703.8876704382875
  found len: 684.5385394145914
  found len: 788.2267195025527
  found len: 750.4268052978002
  found len: 713.7521074898569
  found len: 682.7939364701426
  found len: 668.6110649918056
  found len: 653.0721010162772
  found len: 766.9563329187768
  found len: 776.915519381279
  found len: 735.7959505150767
  found len: 690.4704404417093
  found len: 720.0551631603894
  found len: 641.9563047246136
  found len: 691.0599818519539
  found len: 741.8829431093294
  found len: 654.5728846803074
  found len: 795.8472304605077
  found len: 764.3857225344749
  found len: 675.4778722647868
  found len: 654.8142701217679
  found len: 735.8477245528911
  found len: 688.1705970673885
  found len: 678.5709091851174
  found len: 784.6983499091833
  found len: 793.7221514940632
  found len: 757.684885018009
  found len: 752.5549108545227
  found len: 735.6750466749115
  found len: 827.7831066420177
  found len: 676.5587476708035
  found len: 685.2677452218381
  found len: 788.1671460134941
  found len: 676.2873499014587
  found len: 816.2762223686077
  found len: 707.7894702934765
  found len: 714.9085610789059
  found len: 755.999124130291
  found len: 718.5563869653997
  found len: 805.8464763923428
  found len: 714.0045334232792
  found len: 705.7915270900072
  found len: 673.8901066175598
  found len: 669.2742599094806
  found len: 784.2995836600585
  found len: 646.8432689816801
  found len: 711.1548837247753
  found len: 691.3485177752749
  found len: 714.0835310324559
  found len: 739.1401689194184
  found len: 727.9964780907834
  found len: 688.7206933608985
  found len: 727.2056835039081
  found len: 722.2877589687109
  found len: 787.6246488602575
  found len: 696.3127911124418
  found len: 744.6082599628684
  found len: 754.2647803025487
  found len: 701.2173884046932
  found len: 677.3117244643759
  found len: 725.7793139801714
  found len: 787.2227453737519
  found len: 707.7944942878918
  found len: 727.1610085682854
  found len: 726.7006112481946
  found len: 714.4805767613277
  found len: 683.8336669362709
  found len: 692.173994077709
  found len: 785.75086799902
  found len: 727.4344332954123
  found len: 666.6722677469679
  found len: 765.8931518991066
  found len: 684.9857802448138
  found len: 692.6427052114458
  found len: 647.1158320712482
  found len: 775.1112994069628
  found len: 723.5129948832283
  found len: 710.8673228470595
  found len: 687.0283699658975
  found len: 771.1901502925721
  found len: 765.5271593273933
  found len: 757.6159460655566
  found len: 713.3272721438964
  found len: 685.1810491490702
  found len: 770.2247815321282
  found len: 681.2607159542093
  found len: 698.5701479599667
  found len: 770.6289798228084
  found len: 684.5118403303774
  found len: 705.0656474025403
  found len: 758.3628567352285
  found len: 833.9309752615491
  found len: 719.8352115244313
  found len: 692.1746761237137
  found len: 763.408661031372
  found len: 714.5125071241987
  found len: 744.1845235462814
  found len: 730.0749301027981
averaged 100 values!
average path length: 724.3043854669507
average check cost: 2144.74
