dumping ...
  found len: 786.6164391213608
  found len: 925.5203052372992
  found len: 790.057626978658
  found len: 700.3120140896087
  found len: 864.090116886086
  found len: 1016.3294322844
  found len: 818.2181101716244
  found len: 881.2679124190555
  found len: 805.8617942512262
  found len: 653.0721010162772
  found len: 767.6578729056034
  found len: 776.915519381279
  found len: 735.7959505150767
  found len: 767.1586324407792
  found len: 747.9935072677514
  found len: 641.9563047246136
  found len: 731.8538848320486
  found len: 932.0297391293153
  found len: 909.4454928148256
  found len: 930.1907003936644
  found len: 807.1280362825776
  found len: 681.0180221843459
  found len: 765.5087338746326
  found len: 778.6204652464337
  found len: 829.2809854179328
  found len: 834.266407973089
  found len: 894.6756709682205
  found len: 851.0957015803153
  found len: 833.0519923824985
  found len: 756.1569031129599
  found len: 793.3738280519449
  found len: 861.8661597518004
  found len: 766.3755073323729
  found len: 829.7098886451836
  found len: 849.7585497685168
  found len: 685.4640302420328
  found len: 1025.952169348596
  found len: 716.5184580337475
  found len: 760.4328041126632
  found len: 866.7631168082792
  found len: 756.7207130208636
  found len: 927.5338198018776
  found len: 891.2799828493474
  found len: 736.0214637159589
  found len: 673.8901066175598
  found len: 902.1082810154887
  found len: 873.1047870379269
  found len: 751.2514506595974
  found len: 711.4658007312886
  found len: 711.8151665609323
  found len: 714.0835310324559
  found len: 819.9588241025459
  found len: 1004.3432083405766
  found len: 817.5762779113936
  found len: 804.7638480331823
  found len: 729.0705848182795
  found len: 938.097718963204
  found len: 696.3127911124418
  found len: 868.0199294271331
  found len: 780.736336608551
  found len: 728.0112044396317
  found len: 679.3921002011773
  found len: 867.2692879788286
  found len: 937.9261192924391
  found len: 803.7828152196829
  found len: 814.2239756262699
  found len: 800.9968203598872
  found len: 761.282625384904
  found len: 771.1555407805546
  found len: 692.173994077709
  found len: 811.7166686306467
  found len: 755.8275645566358
  found len: 666.6722677469679
  found len: 802.0838563109229
  found len: 684.9857802448138
  found len: 768.4327027066976
  found len: 649.2275641673311
  found len: 812.0405178690116
  found len: 926.4108463891238
  found len: 911.6365283811983
  found len: 687.0283699658975
  found len: 864.5520596021097
  found len: 773.9950438233442
  found len: 950.2370662865118
  found len: 773.8462250390322
  found len: 747.7046629817481
  found len: 858.5640118724822
  found len: 889.319756437533
  found len: 699.2053803981577
  found len: 969.0690109915229
  found len: 684.5118403303774
  found len: 845.7235634638104
  found len: 873.0961092362287
  found len: 910.4941482854282
  found len: 844.4016525736567
  found len: 814.7621906508922
  found len: 878.8288355022539
  found len: 754.0675587603886
  found len: 744.1845235462814
  found len: 792.9509848919284
averaged 100 values!
average path length: 804.7930728534332
average check cost: 1960.57
