lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 7.387553988799799 0.11328017089980441 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 7.154200278966724 0.12555595311444986 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 7.009207604674693 0.14991501043362945 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 6.2430242690987345 0.13789186717584534 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 5.476840933522782 0.12634124988329784 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.710657597946829 0.1154051277882139 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.9444742623708766 0.10527517906164409 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.1782909267949226 0.09620639709507699 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 2.412107591218968 0.08852551082302328 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.6459242556430138 0.08262051198005219 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.8797409200670602 0.07889118862155546 0.0 larastar-haltonoffdens10000,1.0-sc00.00
