lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.817692305980599 0.08421279010472812 6.3 larastar-haltonoffdens10000,1.0-sc06.30
0.1 5.560735938629684 0.10005726861095741 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.2 5.049976825624531 0.08406809895496571 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 4.511209072392299 0.076148078079943 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 3.972441319160063 0.06832632448688324 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 3.4336735659278306 0.06064087507412138 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 2.894905812695595 0.05315089021713655 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 2.3561380594633614 0.04595204915173616 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.817370306231128 0.03920506090881151 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.2786025529988938 0.03318667006094818 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.73983479976666 0.028364513531090554 0.0 larastar-haltonoffdens10000,1.0-sc00.00
