lambda-u utility-finmean utility-stderrfinmean
0.0 6.631454151220799 0.09823201766708799
0.1 6.496345234168481 0.10016821371108024
0.2 6.36123631711616 0.10372048401865978
0.3 6.226127400063839 0.10873055042597879
0.4 6.091018483011521 0.11500805367748142
0.5 5.9559095659592 0.12235807390321014
0.6 5.820800648906881 0.13059965586401542
0.7 5.685691731854559 0.1395749547668562
0.8 5.5505828148022385 0.14915157360355102
0.9 5.41547389774992 0.1592210471091555
1.0 5.280364980697599 0.1696956622914421
