lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.1878672026092003 0.052013576842138746 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 3.18853363548167 0.047298993996975756 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 2.938964470936381 0.07481606688081606 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 2.65841035348607 0.06624650174217347 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 2.37785623603576 0.05770276758014716 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 2.09730211858545 0.0491983235843744 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 1.8167480011351405 0.04075777182806704 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 1.5361938836848297 0.03243103681716599 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.25563976623452 0.02433523366346856 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 0.97508564878421 0.016807448040868322 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.6945315313338999 0.011073946252759233 0.0 larastar-haltonoffdens10000,1.0-sc00.00
