lambda-u utility-finmean utility-stderrfinmean
0.0 3.594436910599199 0.07226405411340381
0.1 3.293473921939492 0.06548545281587276
0.2 2.9925109332797843 0.05871333924347412
0.3 2.6915479446200754 0.051950250632341446
0.4 2.3905849559603682 0.045200238245294046
0.5 2.08962196730066 0.03847018579528869
0.6 1.7886589786409521 0.03177277944784112
0.7 1.4876959899812439 0.025134130054225372
0.8 1.186733001321536 0.01861719995994862
0.9 0.8857700126618281 0.01241516959767941
1.0 0.5848070240021201 0.007371119247035082
