lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 7.1548008509 0.16233804665544282 10.0 bitstar-default-sc10.00
0.1 8.15201485165554 0.19508533669984413 4.0 bitstar-default-sc04.00
0.2 7.9924008133284765 0.18909331063912715 2.5 bitstar-default-sc02.50
0.3 7.707278037103453 0.19829050797667444 1.6 bitstar-default-sc01.60
0.4 7.1172294309685125 0.18086907751443002 1.0 bitstar-default-sc01.00
0.5 6.363279342171193 0.15520126433844897 0.63 bitstar-default-sc00.63
0.6 5.457229986595667 0.13154363231681548 0.4 bitstar-default-sc00.40
0.7 4.290158006736666 0.11742584528168415 0.0 bitstar-default-sc00.00
0.8 3.332405649548704 0.1023881725804452 0.0 bitstar-default-sc00.00
0.9 2.3746532923607417 0.0894691638988325 0.0 bitstar-default-sc00.00
1.0 1.4169009351727797 0.07970576737788415 0.0 bitstar-default-sc00.00
