lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.430558668416401 0.062275642177473674 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 6.377400950817129 0.06758183478224629 4.0 larastar-haltonoffdens10000,1.0-sc04.00
0.2 6.222492876572975 0.09889622563351254 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.3 5.636222303405082 0.09007059888404115 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 5.0172520798399125 0.08259494805219855 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.398281856274739 0.0756259670932298 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.779311632709569 0.06931664409398759 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.1603414091443973 0.06386279192725743 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 2.5413711855792234 0.05950011791300228 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.922400962014052 0.05648203842996053 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 1.3034307384488801 0.05503022890531411 0.0 larastar-haltonoffdens10000,1.0-sc00.00
