problem planner-seedless param path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean utility0.00cc-num utility0.00cc-numinf utility0.00cc-numfin utility0.00cc-finmean utility0.00cc-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.10cc-num utility0.10cc-numinf utility0.10cc-numfin utility0.10cc-finmean utility0.10cc-stderrfinmean utility0.10time-num utility0.10time-numinf utility0.10time-numfin utility0.10time-finmean utility0.10time-stderrfinmean utility0.20cc-num utility0.20cc-numinf utility0.20cc-numfin utility0.20cc-finmean utility0.20cc-stderrfinmean utility0.20time-num utility0.20time-numinf utility0.20time-numfin utility0.20time-finmean utility0.20time-stderrfinmean utility0.30cc-num utility0.30cc-numinf utility0.30cc-numfin utility0.30cc-finmean utility0.30cc-stderrfinmean utility0.30time-num utility0.30time-numinf utility0.30time-numfin utility0.30time-finmean utility0.30time-stderrfinmean utility0.40cc-num utility0.40cc-numinf utility0.40cc-numfin utility0.40cc-finmean utility0.40cc-stderrfinmean utility0.40time-num utility0.40time-numinf utility0.40time-numfin utility0.40time-finmean utility0.40time-stderrfinmean utility0.50cc-num utility0.50cc-numinf utility0.50cc-numfin utility0.50cc-finmean utility0.50cc-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.60cc-num utility0.60cc-numinf utility0.60cc-numfin utility0.60cc-finmean utility0.60cc-stderrfinmean utility0.60time-num utility0.60time-numinf utility0.60time-numfin utility0.60time-finmean utility0.60time-stderrfinmean utility0.70cc-num utility0.70cc-numinf utility0.70cc-numfin utility0.70cc-finmean utility0.70cc-stderrfinmean utility0.70time-num utility0.70time-numinf utility0.70time-numfin utility0.70time-finmean utility0.70time-stderrfinmean utility0.80cc-num utility0.80cc-numinf utility0.80cc-numfin utility0.80cc-finmean utility0.80cc-stderrfinmean utility0.80time-num utility0.80time-numinf utility0.80time-numfin utility0.80time-finmean utility0.80time-stderrfinmean utility0.90cc-num utility0.90cc-numinf utility0.90cc-numfin utility0.90cc-finmean utility0.90cc-stderrfinmean utility0.90time-num utility0.90time-numinf utility0.90time-numfin utility0.90time-finmean utility0.90time-stderrfinmean utility1.00cc-num utility1.00cc-numinf utility1.00cc-numfin utility1.00cc-finmean utility1.00cc-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
workcellgh rrtconnect-default-sc00.00 00.00 25 0 25 13.319320199999998 0.8569248355190554 25 0 25 3331.8 627.752868040707 25 0 25 1.4958073806763201 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 13.319320199999998 0.8569248355190554 25 0 25 13.319320199999998 0.8569248355190554 25 0 25 18.650988180000002 1.5214925768172896 25 0 25 12.136968918067637 0.7736630302346181 25 0 25 23.982656159999998 2.6515786156924444 25 0 25 10.954617636135264 0.6915110069472338 25 0 25 29.31432414 3.8577336164374265 25 0 25 9.772266354202896 0.6109166382260818 25 0 25 34.64599211999999 5.086124080465587 25 0 25 8.589915072270529 0.5325875352922298 25 0 25 39.9776601 6.323805632267567 25 0 25 7.40756379033816 0.45768821744803656 25 0 25 45.309328080000014 7.5662201391323975 25 0 25 6.225212508405791 0.3882089692263494 25 0 25 50.64099605999999 8.811365769234245 25 0 25 5.042861226473425 0.32761651505948636 25 0 25 55.97266404 10.058228285884143 25 0 25 3.8605099445410547 0.28170487366493147 25 0 25 61.304332020000004 11.30623968386454 25 0 25 2.6781586626086873 0.2584209134500181 25 0 25 66.63600000000001 12.55505736081414 25 0 25 1.4958073806763201 0.263825281057413
workcellgh rrtconnect-default-sc00.10 00.10 25 0 25 12.832019840000001 0.9090791652731566 25 0 25 3331.8 627.752868040707 25 0 25 1.5958073806763198 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 12.832019840000001 0.9090791652731566 25 0 25 12.832019840000001 0.9090791652731566 25 0 25 18.212417856000002 1.5512141172916336 25 0 25 11.70839859406763 0.8205963654700807 25 0 25 23.592815871999996 2.6682469772147646 25 0 25 10.584777348135265 0.7331602514885953 25 0 25 28.973213888 3.8686244338170552 25 0 25 9.461156102202896 0.6471951844336308 25 0 25 34.35361190399999 5.09376132864671 25 0 25 8.33753485627053 0.5633749658943763 25 0 25 39.73400992 6.329296194782383 25 0 25 7.21391361033816 0.4828179684829932 25 0 25 45.114407936000006 7.570139533333358 25 0 25 6.0902923644057925 0.4074642588433327 25 0 25 50.494805951999986 8.81404964654535 25 0 25 4.966671118473426 0.34078313753851613 25 0 25 55.87520396800001 10.059888974246958 25 0 25 3.8430498725410547 0.2888447065078238 25 0 25 61.255601983999995 11.307019835543073 25 0 25 2.719428626608688 0.2606174882384784 25 0 25 66.63600000000001 12.55505736081414 25 0 25 1.5958073806763198 0.263825281057413
workcellgh rrtconnect-default-sc00.16 00.16 25 0 25 11.498135 0.8840313749725384 25 0 25 3331.8 627.752868040707 25 0 25 1.65580738067632 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 11.498135 0.8840313749725384 25 0 25 11.498135 0.8840313749725384 25 0 25 17.0119215 1.524987996237138 25 0 25 10.513902238067631 0.7974191491513904 25 0 25 22.525707999999998 2.6480270367746632 25 0 25 9.529669476135265 0.7118891103395418 25 0 25 28.039494499999996 3.8523872947047466 25 0 25 8.545436714202896 0.6278836595229466 25 0 25 33.553281 5.0805620192461225 25 0 25 7.561203952270528 0.5461068145162054 25 0 25 39.067067499999986 6.318679836524449 25 0 25 6.576971190338159 0.467728975278796 25 0 25 44.58085400000001 7.5618583168217155 25 0 25 5.5927384284057915 0.39477983010644596 25 0 25 50.0946405 8.807954893899126 25 0 25 4.608505666473425 0.3308697820768803 25 0 25 55.608427 10.055884819563522 25 0 25 3.624272904541055 0.28220823803272693 25 0 25 61.12221349999998 11.305040976386831 25 0 25 2.6400401426086875 0.2575871600539835 25 0 25 66.63600000000001 12.55505736081414 25 0 25 1.65580738067632 0.263825281057413
workcellgh rrtconnect-default-sc00.25 00.25 25 0 25 10.631263079999998 0.820547127935615 25 0 25 3331.8 627.752868040707 25 0 25 1.74580738067632 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 10.631263079999998 0.820547127935615 25 0 25 10.631263079999998 0.820547127935615 25 0 25 16.231736772 1.5152115942534485 25 0 25 9.742717510067635 0.7413050718962823 25 0 25 21.832210464000003 2.6543885931384463 25 0 25 8.854171940135263 0.6632168631178609 25 0 25 27.432684156000004 3.8630344902982237 25 0 25 7.965626370202895 0.5867433705442404 25 0 25 33.033157848 5.0919187135018715 25 0 25 7.07708080027053 0.5126077795745141 25 0 25 38.63363153999999 6.3292638543841875 25 0 25 6.18853523033816 0.4419880834728335 25 0 25 44.23410523199999 7.570922647454836 25 0 25 5.2999896604057914 0.3768659889571369 25 0 25 49.83457892399999 8.815072465436778 25 0 25 4.411444090473426 0.3206091994660639 25 0 25 55.43505261600002 10.06078920611527 25 0 25 3.5228985205410566 0.27864012880573624 25 0 25 61.035526308 11.307555012941396 25 0 25 2.634352950608688 0.25802744316925175 25 0 25 66.63600000000001 12.55505736081414 25 0 25 1.74580738067632 0.263825281057413
workcellgh rrtconnect-default-sc00.40 00.40 25 0 25 8.9247834 0.8506044100352328 25 0 25 3331.8 627.752868040707 25 0 25 1.89580738067632 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 8.9247834 0.8506044100352328 25 0 25 8.9247834 0.8506044100352328 25 0 25 14.69590506 1.5363380510649849 25 0 25 8.221885798067632 0.7685168750082336 25 0 25 20.46702672 2.6683712504487995 25 0 25 7.518988196135265 0.6875407981001527 25 0 25 26.238148380000002 3.8733886238778026 25 0 25 6.816090594202897 0.6081203400731707 25 0 25 32.00927004 5.0999154415777355 25 0 25 6.113192992270529 0.5309540319537678 25 0 25 37.7803917 6.335471519089394 25 0 25 5.41029539033816 0.4571847079288154 25 0 25 43.55151336 7.575640237328818 25 0 25 4.707397788405792 0.38875103518664733 25 0 25 49.32263502 8.818475742438189 25 0 25 4.0045001864734235 0.3289995663099928 25 0 25 55.093756680000006 10.062989993674785 25 0 25 3.3016025845410546 0.28347468843686313 25 0 25 60.86487834 11.30862876673913 25 0 25 2.598704982608688 0.2597670502880029 25 0 25 66.63600000000001 12.55505736081414 25 0 25 1.89580738067632 0.263825281057413
workcellgh rrtconnect-default-sc00.63 00.63 25 0 25 6.983237119999997 0.5931598277980911 25 0 25 3331.8 627.752868040707 25 0 25 2.1258073806763202 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 6.983237119999997 0.5931598277980911 25 0 25 6.983237119999997 0.5931598277980911 25 0 25 12.948513408000004 1.3141550959962212 25 0 25 6.497494146067632 0.5316697160278792 25 0 25 18.913789696000006 2.508313137073403 25 0 25 6.011751172135264 0.471810456455501 25 0 25 24.879065984 3.74776361489889 25 0 25 5.526008198202894 0.41428956172248527 25 0 25 30.844342272 4.998929442887524 25 0 25 5.040265224270528 0.36022894016937046 25 0 25 36.80961856 6.254784183250321 25 0 25 4.55452225033816 0.3114357910882515 25 0 25 42.774894848 7.5129768351414326 25 0 25 4.068779276405793 0.2707728362629094 25 0 25 48.740171136 8.77250151404763 25 0 25 3.583036302473425 0.24236732452381804 25 0 25 54.705447423999985 10.032856564549647 25 0 25 3.0972933285410558 0.23079043608365862 25 0 25 60.670723712 11.293763988057693 25 0 25 2.6115503546086876 0.23850544025328874 25 0 25 66.63600000000001 12.55505736081414 25 0 25 2.1258073806763202 0.263825281057413
workcellgh rrtconnect-default-sc01.00 01.00 25 0 25 6.09684268 0.4454892852105264 25 0 25 3331.8 627.752868040707 25 0 25 2.4958073806763195 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 6.09684268 0.4454892852105264 25 0 25 6.09684268 0.4454892852105264 25 0 25 12.150758412 1.2684506435348661 25 0 25 5.736739150067632 0.39826453784385507 25 0 25 18.204674144000002 2.490882230248323 25 0 25 5.376635620135263 0.353213496366574 25 0 25 24.25858987599999 3.739658066305785 25 0 25 5.016532090202896 0.31128138230859026 25 0 25 30.312505607999995 4.995058712251658 25 0 25 4.656428560270529 0.27390439385544824 25 0 25 36.36642134 6.253095356927854 25 0 25 4.29632503033816 0.24319195714418865 25 0 25 42.420337072 7.512443841045363 25 0 25 3.9362215004057917 0.22192843916643018 25 0 25 48.47425280400001 8.772539216493952 25 0 25 3.576117970473425 0.21296321101777577 25 0 25 54.52816853600001 10.03310007241154 25 0 25 3.2160144405410556 0.21782015386112025 25 0 25 60.58208426800001 11.29397054800307 25 0 25 2.8559109106086877 0.23564613863606848 25 0 25 66.63600000000001 12.55505736081414 25 0 25 2.4958073806763195 0.263825281057413
workcellgh rrtconnect-default-sc01.60 01.60 25 0 25 5.389430600000001 0.25430859439153186 25 0 25 3331.8 627.752868040707 25 0 25 3.095807380676321 0.26382528105741293 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 5.389430600000001 0.25430859439153186 25 0 25 5.389430600000001 0.25430859439153186 25 0 25 11.514087540000002 1.2269768874181226 25 0 25 5.160068278067634 0.2246916350080131 25 0 25 17.63874448 2.4753856036830766 25 0 25 4.930705956135264 0.1989018319451235 25 0 25 23.763401419999994 3.7324064188095702 25 0 25 4.701343634202896 0.17860482890183174 25 0 25 29.88805836 4.991537202807031 25 0 25 4.471981312270528 0.16582994093454145 25 0 25 36.012715299999996 6.251503163434269 25 0 25 4.24261899033816 0.1623625325037427 25 0 25 42.137372240000005 7.511884060702551 25 0 25 4.013256668405793 0.1687772284968526 25 0 25 48.26202918 8.77250104953152 25 0 25 3.783894346473423 0.18404361440838723 25 0 25 54.38668611999999 10.033265140033558 25 0 25 3.5545320245410563 0.2062049693807158 25 0 25 60.51134306000001 11.294127069410003 25 0 25 3.325169702608688 0.23330466141394432 25 0 25 66.63600000000001 12.55505736081414 25 0 25 3.095807380676321 0.26382528105741293
workcellgh rrtconnect-default-sc02.50 02.50 25 0 25 4.982290320000001 0.1782985307520762 25 0 25 3331.8 627.752868040707 25 0 25 3.99580738067632 0.263825281057413 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 4.982290320000001 0.1782985307520762 25 0 25 4.982290320000001 0.1782985307520762 25 0 25 11.147661288000002 1.2138979822251525 25 0 25 4.883642026067632 0.15402937762119204 25 0 25 17.313032256 2.46922784626601 25 0 25 4.784993732135266 0.13524911452527558 25 0 25 23.478403223999997 3.7285927509777594 25 0 25 4.686345438202896 0.12446761625759126 25 0 25 29.643774192000006 4.988937917919559 25 0 25 4.587697144270528 0.12379274098790889 25 0 25 35.80914516 6.249670318937664 25 0 25 4.48904885033816 0.13337799163740843 25 0 25 41.974516128 7.5105949526191695 25 0 25 4.390400556405791 0.1512855752959755 25 0 25 48.139887096 8.771628918824023 25 0 25 4.291752262473424 0.174978720533431 25 0 25 54.305258064 10.032730990968236 25 0 25 4.193103968541055 0.2024360903936732 25 0 25 60.470629032000005 11.293878354447703 25 0 25 4.094455674608687 0.2323268806137398 25 0 25 66.63600000000001 12.55505736081414 25 0 25 3.99580738067632 0.263825281057413
workcellgh rrtconnect-default-sc04.00 04.00 25 0 25 4.7759300399999995 0.14786807290084045 25 0 25 3331.8 627.752868040707 25 0 25 5.495807380676322 0.26382528105741293 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 25 0 nan nan 25 0 25 4.7759300399999995 0.14786807290084045 25 0 25 4.7759300399999995 0.14786807290084045 25 0 25 10.961937036000002 1.2135507046848493 25 0 25 4.847917774067631 0.12590854733054746 25 0 25 17.147944032 2.4705318885221557 25 0 25 4.9199055081352645 0.11062468589217651 25 0 25 23.333951028 3.7301920145047056 25 0 25 4.991893242202894 0.10497401343651806 25 0 25 29.519958023999997 4.990502907668781 25 0 25 5.063880976270529 0.11044514201888375 25 0 25 35.70596502 6.251070966749018 25 0 25 5.135868710338159 0.12559290913322338 25 0 25 41.891972016 7.511766725925436 25 0 25 5.207856444405793 0.1474648832227332 25 0 25 48.07797901199999 8.772535130258222 25 0 25 5.279844178473426 0.17353693633810682 25 0 25 54.263986008 10.033348794496023 25 0 25 5.351831912541056 0.2021907720290704 25 0 25 60.44999300400001 11.29419256104309 25 0 25 5.423819646608688 0.23247367989555393 25 0 25 66.63600000000001 12.55505736081414 25 0 25 5.495807380676322 0.26382528105741293
