lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.1479589196296 0.07915641060663307 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 5.2918773234576175 0.09112507643341877 4.0 larastar-haltonoffdens10000,1.0-sc04.00
0.2 5.0763934395637555 0.1116818779902788 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 4.718801288722535 0.11836992676027425 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 4.361209137881313 0.12794392954972092 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.003616987040091 0.13981226882362402 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.6460248361988676 0.1534434872394028 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.2884326853576464 0.16841006174324122 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 2.930840534516423 0.18438710875256425 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 2.5732483836752023 0.20113397204224778 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 2.2156562328339793 0.2184736949896888 0.0 larastar-haltonoffdens10000,1.0-sc00.00
