lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 8.15883928 0.3740955823425546 10.0 rrtconnect-default-sc10.00
0.1 8.14668376277676 0.3587338144545146 4.0 rrtconnect-default-sc04.00
0.2 7.89802903755352 0.36060890472965246 2.5 rrtconnect-default-sc02.50
0.3 7.556598016330278 0.3326175817248836 2.5 rrtconnect-default-sc02.50
0.4 7.1852877631070395 0.3466973520459721 1.6 rrtconnect-default-sc01.60
0.5 6.698836613883799 0.32548789535204176 1.6 rrtconnect-default-sc01.60
0.6 6.212385464660559 0.3133086762121012 1.6 rrtconnect-default-sc01.60
0.7 5.602525307437321 0.34160656666058664 1.0 rrtconnect-default-sc01.00
0.8 4.933540022214078 0.3702985229013311 0.63 rrtconnect-default-sc00.63
0.9 4.060722656990841 0.3820172319230196 0.4 rrtconnect-default-sc00.40
1.0 2.6665808677676 0.36305448283520186 0.0 rrtconnect-default-sc00.00
