lambda-u utility-finmean utility-stderrfinmean
0.0 4.915277980000001 0.15958216486320306
0.1 6.926005020943526 0.2901811087457383
0.2 8.936732061887046 0.49905422950433626
0.3 10.947459102830571 0.7211217731300367
0.4 12.958186143774096 0.9471481082497241
0.5 14.968913184717627 1.1748505887229381
0.6 16.979640225661147 1.403413592732741
0.7 18.99036726660466 1.632475714457702
0.8 21.001094307548197 1.8618527449570579
0.9 23.011821348491708 2.0914410747369527
1.0 25.022548389435244 2.3211780056411806
