lambda-u utility-finmean-conloop
0.0 4.626612036938433
0.1 4.237610318251953
0.2 3.8487364261662553
0.3 3.46002657864233
0.4 3.071531352350432
0.5 2.683323040364316
0.6 2.2955075272756384
0.7 1.9082436196143697
0.8 1.5217740646600684
0.9 1.1364719302424244
1.0 0.7528954022766651
1.0 0.6236807161923351
0.9 0.9902033508492754
0.8 1.3550003790543317
0.7 1.7186299867227302
0.6 2.0814652416841626
0.5 2.443748891218183
0.4 2.8056397418547694
0.3 3.1672436781855686
0.2 3.528632993284345
0.1 3.8898582638213473
0.0 4.250955707757568
