lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.441436720033799 0.12017096909752693 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 6.306958262110385 0.13850807895474423 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.2 5.837839394872366 0.13182630610368032 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 5.301277003195745 0.12121454453477137 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 4.7647146115191275 0.11125175859474902 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.22815221984251 0.10212805164056511 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.6915898281658923 0.09408783784949537 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.1550274364892745 0.08743054779829136 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 2.6184650448126554 0.08249168020623096 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 2.0819026531360376 0.07959177769095384 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 1.5453402614594196 0.07895582313285537 0.0 larastar-haltonoffdens10000,1.0-sc00.00
