lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.463107339552201 0.07506268168860798 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 5.251432486256087 0.06980127040289871 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 5.416327385379577 0.1586870127787645 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 4.842456556697163 0.1413244054187628 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 4.268585728014753 0.12413328743310602 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 3.694714899332341 0.10719619615731528 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.120844070649927 0.09065562217485104 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 2.5469732419675157 0.07477516387735504 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.973102413285104 0.06008056568912681 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.3992315846026924 0.047681123663666766 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.8253607559202798 0.03978405049512316 0.0 larastar-haltonoffdens10000,1.0-sc00.00
