lambda-u utility-finmean utility-stderrfinmean
0.0 3.1895948531842 0.05210818229913944
0.1 2.945772084231604 0.04774522375566065
0.2 2.7019493152790086 0.04340056875037471
0.3 2.458126546326412 0.039080322307448394
0.4 2.2143037773738157 0.03479357789696602
0.5 1.9704810084212208 0.030554439636664665
0.6 1.7266582394686245 0.02638586264591465
0.7 1.4828354705160283 0.022327403813424244
0.8 1.2390127015634318 0.018451867708893198
0.9 0.995189932610836 0.014902655141464811
1.0 0.7513671636582399 0.011973557783904782
