lambda-u utility-finmean utility-stderrfinmean
0.0 6.849683039999999 0.2582785103720239
0.1 6.919170845046731 0.23396787995773716
0.2 6.988658650093466 0.23594397208146364
0.3 7.058146455140195 0.2636163049755703
0.4 7.1276342601869285 0.3101821460272999
0.5 7.1971220652336605 0.368548206286455
0.6 7.266609870280392 0.43397926929469743
0.7 7.336097675327125 0.5037297302878694
0.8 7.405585480373856 0.5762331866110748
0.9 7.475073285420589 0.6505698568991277
1.0 7.54456109046732 0.726176976526579
