lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.567833352204002 0.09987431341496786 10.0 bitstar-default-sc10.00
0.1 7.396877043528519 0.21667431180588 6.3 bitstar-default-sc06.30
0.2 7.775545663970725 0.3478731278094851 4.0 bitstar-default-sc04.00
0.3 7.82344802182632 0.473549261291083 1.6 bitstar-default-sc01.60
0.4 7.718862886454559 0.5978260670651553 0.0 bitstar-default-sc00.00
0.5 7.4528212762095984 0.7577315056548657 0.0 bitstar-default-sc00.00
0.6 7.1867796659646395 0.9188483332058774 0.0 bitstar-default-sc00.00
0.7 6.920738055719682 1.080634850808671 0.0 bitstar-default-sc00.00
0.8 6.65469644547472 1.2428295533592564 0.0 bitstar-default-sc00.00
0.9 6.388654835229763 1.405291113327729 0.0 bitstar-default-sc00.00
1.0 6.1226132249848 1.5679365817106372 0.0 bitstar-default-sc00.00
