lambda-u utility-finmean utility-stderrfinmean
0.0 7.493132974100603 0.11451623277874372
0.1 6.937162750535428 0.10610718093689446
0.2 6.381192526970255 0.0979369640000121
0.3 5.825222303405083 0.09007059888404116
0.4 5.2692520798399105 0.08259494805219854
0.5 4.713281856274739 0.0756259670932298
0.6 4.157311632709567 0.06931664409398758
0.7 3.6013414091443963 0.06386279192725744
0.8 3.0453711855792234 0.059500117913002276
0.9 2.489400962014052 0.05648203842996053
1.0 1.9334307384488805 0.0550302289053141
