lambda-u utility-finmean utility-stderrfinmean
0.0 5.417782590867801 0.11564888441063227
0.1 5.2958056423203 0.10556827711825345
0.2 5.1738286937728 0.09556841832255264
0.3 5.051851745225301 0.08567758637063708
0.4 4.929874796677801 0.07593839483809907
0.5 4.807897848130299 0.06641758497221639
0.6 4.685920899582801 0.05722426194510186
0.7 4.563943951035301 0.04854484004966104
0.8 4.441967002487798 0.040709355367018675
0.9 4.319990053940299 0.034301115317358806
1.0 4.1980131053928 0.030241464718111375
