lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.4483202538506 0.07244592592119213 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 4.323590150326993 0.06813075295932694 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 4.133920704787263 0.08952163869518862 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 3.691808501911295 0.07944946542934188 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 3.2496962990353278 0.06941229244990876 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 2.8075840961593594 0.05942785670964659 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 2.3654718932833925 0.04952806261969142 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 1.923359690407425 0.039776159246777694 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.4812474875314563 0.0303152061810096 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.0391352846554875 0.02153219986384082 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.5970230817795201 0.014697433788345824 0.0 larastar-haltonoffdens10000,1.0-sc00.00
