lambda-u utility-finmean utility-stderrfinmean
0.0 10.4479099689684 0.49472106783037895
0.1 9.701758239039131 0.4659470876196584
0.2 8.955606509109863 0.44155592993576465
0.3 8.209454779180597 0.4223076927499885
0.4 7.463303049251328 0.40892925151471404
0.5 6.717151319322061 0.40200705892699756
0.6 5.9709995893927905 0.40187487530830956
0.7 5.224847859463524 0.4085392914704644
0.8 4.4786961295342556 0.42167817970638877
0.9 3.7325443996049876 0.4407128533410192
1.0 2.9863926696757206 0.4649197223754403
