lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.558063701553 0.030293837299008804 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.1 4.336927078303923 0.02780613858459575 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.2 4.066475109026524 0.05880548680680227 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 3.6504095438072857 0.052302236609806076 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 3.2343439785880475 0.04581897221591345 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 2.81827841336881 0.039365569476237976 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 2.402212848149571 0.032959573574088505 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 1.9861472829303337 0.026635211749005336 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.570081717711096 0.02046829510179862 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.1540161524918577 0.014658897931483075 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.7379505872726202 0.009860580991418701 0.0 larastar-haltonoffdens10000,1.0-sc00.00
