lambda-u utility-finmean utility-stderrfinmean
0.0 5.0181451105392 0.1097324078903801
0.1 4.592032907663233 0.0996181964108101
0.2 4.165920704787265 0.0895216386951886
0.3 3.739808501911296 0.0794494654293419
0.4 3.3136962990353287 0.06941229244990876
0.5 2.88758409615936 0.059427856709646606
0.6 2.4614718932833917 0.04952806261969141
0.7 2.035359690407424 0.0397761592467777
0.8 1.6092474875314569 0.030315206181009597
0.9 1.1831352846554881 0.02153219986384082
1.0 0.75702308177952 0.01469743378834583
