problem planner-seedless param path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean utility0.00cc-num utility0.00cc-numinf utility0.00cc-numfin utility0.00cc-finmean utility0.00cc-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.10cc-num utility0.10cc-numinf utility0.10cc-numfin utility0.10cc-finmean utility0.10cc-stderrfinmean utility0.10time-num utility0.10time-numinf utility0.10time-numfin utility0.10time-finmean utility0.10time-stderrfinmean utility0.20cc-num utility0.20cc-numinf utility0.20cc-numfin utility0.20cc-finmean utility0.20cc-stderrfinmean utility0.20time-num utility0.20time-numinf utility0.20time-numfin utility0.20time-finmean utility0.20time-stderrfinmean utility0.30cc-num utility0.30cc-numinf utility0.30cc-numfin utility0.30cc-finmean utility0.30cc-stderrfinmean utility0.30time-num utility0.30time-numinf utility0.30time-numfin utility0.30time-finmean utility0.30time-stderrfinmean utility0.40cc-num utility0.40cc-numinf utility0.40cc-numfin utility0.40cc-finmean utility0.40cc-stderrfinmean utility0.40time-num utility0.40time-numinf utility0.40time-numfin utility0.40time-finmean utility0.40time-stderrfinmean utility0.50cc-num utility0.50cc-numinf utility0.50cc-numfin utility0.50cc-finmean utility0.50cc-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.60cc-num utility0.60cc-numinf utility0.60cc-numfin utility0.60cc-finmean utility0.60cc-stderrfinmean utility0.60time-num utility0.60time-numinf utility0.60time-numfin utility0.60time-finmean utility0.60time-stderrfinmean utility0.70cc-num utility0.70cc-numinf utility0.70cc-numfin utility0.70cc-finmean utility0.70cc-stderrfinmean utility0.70time-num utility0.70time-numinf utility0.70time-numfin utility0.70time-finmean utility0.70time-stderrfinmean utility0.80cc-num utility0.80cc-numinf utility0.80cc-numfin utility0.80cc-finmean utility0.80cc-stderrfinmean utility0.80time-num utility0.80time-numinf utility0.80time-numfin utility0.80time-finmean utility0.80time-stderrfinmean utility0.90cc-num utility0.90cc-numinf utility0.90cc-numfin utility0.90cc-finmean utility0.90cc-stderrfinmean utility0.90time-num utility0.90time-numinf utility0.90time-numfin utility0.90time-finmean utility0.90time-stderrfinmean utility1.00cc-num utility1.00cc-numinf utility1.00cc-numfin utility1.00cc-finmean utility1.00cc-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
herbbookshelf1nom bitstar-default-sc00.00 00.00 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 81454.86 13156.953384614013 50 0 50 30.364578337676168 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 172.45553758543403 26.39801789145305 50 0 50 12.582275419201663 0.6599175430580011 50 0 50 334.30461118705244 52.70153986844477 50 0 50 14.558086854587716 1.0847371041666014 50 0 50 496.1536847886709 79.00592705773293 50 0 50 16.533898289973767 1.539198750317837 50 0 50 658.0027583902894 105.31053112503567 50 0 50 18.509709725359826 2.003228840424491 50 0 50 819.8518319919079 131.61522203476747 50 0 50 20.48552116074588 2.4714436201421073 50 0 50 981.7009055935264 157.91995639096382 50 0 50 22.46133259613194 2.941845701983366 50 0 50 1143.5499791951447 184.22471558296792 50 0 50 24.43714403151798 3.41353094131562 50 0 50 1305.3990527967635 210.52949030139624 50 0 50 26.412955466904044 3.886032118583737 50 0 50 1467.248126398382 236.83427537276927 50 0 50 28.388766902290094 4.359083912052385 50 0 50 1629.0972 263.1390676922802 50 0 50 30.364578337676168 4.832524626348805
herbbookshelf1nom bitstar-default-sc00.10 00.10 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 81454.86 13156.953384614013 50 0 50 30.464578337676166 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 172.45553758543403 26.39801789145305 50 0 50 12.592275419201663 0.6599175430580011 50 0 50 334.30461118705244 52.70153986844477 50 0 50 14.578086854587719 1.0847371041666014 50 0 50 496.1536847886709 79.00592705773293 50 0 50 16.563898289973764 1.5391987503178368 50 0 50 658.0027583902894 105.31053112503567 50 0 50 18.54970972535982 2.0032288404244913 50 0 50 819.8518319919079 131.61522203476747 50 0 50 20.53552116074588 2.4714436201421073 50 0 50 981.7009055935264 157.91995639096382 50 0 50 22.521332596131938 2.9418457019833655 50 0 50 1143.5499791951447 184.22471558296792 50 0 50 24.50714403151798 3.4135309413156194 50 0 50 1305.3990527967635 210.52949030139624 50 0 50 26.49295546690405 3.886032118583737 50 0 50 1467.248126398382 236.83427537276927 50 0 50 28.47876690229011 4.359083912052385 50 0 50 1629.0972 263.1390676922802 50 0 50 30.464578337676166 4.832524626348805
herbbookshelf1nom bitstar-default-sc00.16 00.16 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 81454.86 13156.953384614013 50 0 50 30.524578337676147 4.832524626348803 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 172.45553758543403 26.39801789145305 50 0 50 12.598275419201654 0.659917543058001 50 0 50 334.30461118705244 52.70153986844477 50 0 50 14.590086854587712 1.0847371041666014 50 0 50 496.1536847886709 79.00592705773293 50 0 50 16.581898289973765 1.5391987503178368 50 0 50 658.0027583902894 105.31053112503567 50 0 50 18.57370972535982 2.0032288404244913 50 0 50 819.8518319919079 131.61522203476747 50 0 50 20.56552116074588 2.4714436201421073 50 0 50 981.7009055935264 157.91995639096382 50 0 50 22.557332596131932 2.9418457019833655 50 0 50 1143.5499791951447 184.22471558296792 50 0 50 24.549144031517997 3.4135309413156185 50 0 50 1305.3990527967635 210.52949030139624 50 0 50 26.540955466904048 3.886032118583737 50 0 50 1467.248126398382 236.83427537276927 50 0 50 28.532766902290096 4.359083912052386 50 0 50 1629.0972 263.1390676922802 50 0 50 30.524578337676147 4.832524626348803
herbbookshelf1nom bitstar-default-sc00.25 00.25 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 81454.86 13156.953384614013 50 0 50 30.614578337676168 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 10.606463983815598 0.3816314038701282 50 0 50 172.45553758543403 26.39801789145305 50 0 50 12.607275419201656 0.659917543058001 50 0 50 334.30461118705244 52.70153986844477 50 0 50 14.608086854587714 1.0847371041666014 50 0 50 496.1536847886709 79.00592705773293 50 0 50 16.60889828997377 1.539198750317837 50 0 50 658.0027583902894 105.31053112503567 50 0 50 18.609709725359824 2.003228840424491 50 0 50 819.8518319919079 131.61522203476747 50 0 50 20.61052116074588 2.4714436201421073 50 0 50 981.7009055935264 157.91995639096382 50 0 50 22.611332596131938 2.9418457019833655 50 0 50 1143.5499791951447 184.22471558296792 50 0 50 24.612144031517992 3.4135309413156194 50 0 50 1305.3990527967635 210.52949030139624 50 0 50 26.612955466904054 3.886032118583737 50 0 50 1467.248126398382 236.83427537276927 50 0 50 28.61376690229011 4.359083912052385 50 0 50 1629.0972 263.1390676922802 50 0 50 30.614578337676168 4.832524626348805
herbbookshelf1nom bitstar-default-sc00.40 00.40 50 0 50 10.493783060879997 0.3965351823285836 50 0 50 81489.04 13155.066698051036 50 0 50 30.764578337676156 4.832524626348804 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.493783060879997 0.3965351823285836 50 0 50 10.493783060879997 0.3965351823285836 50 0 50 172.42248475479198 26.399891869668394 50 0 50 12.520862588559616 0.6711565675651054 50 0 50 334.351186448704 52.69893411215017 50 0 50 14.54794211623923 1.0926902569087862 50 0 50 496.279888142616 78.9989071926347 50 0 50 16.575021643918845 1.5452516717018 50 0 50 658.2085898365281 105.29911364276283 50 0 50 18.60210117159846 2.007969953024007 50 0 50 820.1372915304403 131.59941354550048 50 0 50 20.62918069927808 2.475155309792389 50 0 50 982.0659932243522 157.8997602035387 50 0 50 22.6562602269577 2.9446823521283054 50 0 50 1143.9946949182638 184.20013358952156 50 0 50 24.683339754637316 3.4155855097295578 50 0 50 1305.9233966121762 210.50052368511436 50 0 50 26.710419282316924 3.887364719911083 50 0 50 1467.8520983060882 236.80092492273843 50 0 50 28.737498809996552 4.359735591631723 50 0 50 1629.7808000000002 263.10133396102077 50 0 50 30.764578337676156 4.832524626348804
herbbookshelf1nom bitstar-default-sc00.63 00.63 50 0 50 10.198697222876998 0.42046288607466603 50 0 50 81591.78 13154.806210730334 50 0 50 30.994578337676153 4.832524626348804 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 10.198697222876998 0.42046288607466603 50 0 50 10.198697222876998 0.42046288607466603 50 0 50 172.36238750058928 26.39564495749036 50 0 50 12.27828533435692 0.6807932780457061 50 0 50 334.5260777783016 52.69442559367068 50 0 50 14.357873445836836 1.0961269986280537 50 0 50 496.68976805601386 78.9942658476778 50 0 50 16.437461557316748 1.5462321195841262 50 0 50 658.8534583337263 105.29437172623224 50 0 50 18.51704966879666 2.0078589589333813 50 0 50 821.0171486114389 131.59458396861194 50 0 50 20.596637780276584 2.474567819060049 50 0 50 983.1808388891509 157.89484942443124 50 0 50 22.6762258917565 2.943942703944716 50 0 50 1145.344529166863 184.1951452994819 50 0 50 24.75581400323641 3.414884457476444 50 0 50 1307.5082194445756 210.49546019159746 50 0 50 26.83540211471633 3.886823578777689 50 0 50 1469.6719097222876 236.79578776424475 50 0 50 28.914990226196238 4.359436164000266 50 0 50 1631.8355999999999 263.09612421460673 50 0 50 30.994578337676153 4.832524626348804
herbbookshelf1nom bitstar-default-sc01.00 01.00 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 81675.3 13166.771020470822 50 0 50 31.364578337676168 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 172.2453559584286 26.380101818764647 50 0 50 12.031213792196235 0.6391189441663154 50 0 50 334.60764974082554 52.707311702214255 50 0 50 14.17936540836067 1.058694646136551 50 0 50 496.96994352322224 79.03548685386251 50 0 50 16.32751702452511 1.5140876777860743 50 0 50 659.3322373056192 105.36390367685935 50 0 50 18.47566864068954 1.980745933124327 50 0 50 821.6945310880161 131.69241722389572 50 0 50 20.623820256853982 2.4522465659988177 50 0 50 984.0568248704129 158.02097914823042 50 0 50 22.771971873018416 2.9262497847273603 50 0 50 1146.4191186528092 184.34956872231908 50 0 50 24.920123489182846 3.4017095993162547 50 0 50 1308.7814124352067 210.67817557993834 50 0 50 27.068275105347293 3.8780903041114563 50 0 50 1471.1437062176033 237.00679396111067 50 0 50 29.21642672151172 4.355089715368184 50 0 50 1633.506 263.33542040941643 50 0 50 31.364578337676168 4.832524626348805
herbbookshelf1nom bitstar-default-sc01.60 01.60 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 81675.3 13166.771020470822 50 0 50 31.964578337676166 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 9.883062176031798 0.3941795392024241 50 0 50 172.2453559584286 26.380101818764647 50 0 50 12.09121379219624 0.6391189441663153 50 0 50 334.60764974082554 52.707311702214255 50 0 50 14.299365408360668 1.058694646136551 50 0 50 496.96994352322224 79.03548685386251 50 0 50 16.507517024525107 1.5140876777860748 50 0 50 659.3322373056192 105.36390367685935 50 0 50 18.715668640689547 1.980745933124327 50 0 50 821.6945310880161 131.69241722389572 50 0 50 20.923820256853983 2.4522465659988173 50 0 50 984.0568248704129 158.02097914823042 50 0 50 23.13197187301841 2.9262497847273603 50 0 50 1146.4191186528092 184.34956872231908 50 0 50 25.34012348918285 3.4017095993162547 50 0 50 1308.7814124352067 210.67817557993834 50 0 50 27.548275105347294 3.8780903041114567 50 0 50 1471.1437062176033 237.00679396111067 50 0 50 29.75642672151172 4.355089715368184 50 0 50 1633.506 263.33542040941643 50 0 50 31.964578337676166 4.832524626348805
herbbookshelf1nom bitstar-default-sc02.50 02.50 50 0 50 9.726072035078799 0.39516358653397826 50 0 50 82139.28 13145.77192166208 50 0 50 32.864578337676164 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 9.726072035078799 0.39516358653397826 50 0 50 9.726072035078799 0.39516358653397826 50 0 50 173.03202483157088 26.33353370371904 50 0 50 12.03992266533854 0.6373548912915504 50 0 50 336.3379776280631 52.61924151638232 50 0 50 14.353773295598275 1.05650831091144 50 0 50 499.6439304245551 78.90592433755225 50 0 50 16.667623925858003 1.5119920372930002 50 0 50 662.9498832210473 105.19285123399476 50 0 50 18.981474556117746 1.9788763445174498 50 0 50 826.2558360175395 131.4798758110186 50 0 50 21.295325186377486 2.4506539554137103 50 0 50 989.5617888140317 157.76694924221002 50 0 50 23.60917581663721 2.9249580488820346 50 0 50 1152.8677416105236 184.0540505951361 50 0 50 25.92302644689694 3.4007316745805665 50 0 50 1316.1736944070165 210.34116940135496 50 0 50 28.236877077156688 3.8774339212309097 50 0 50 1479.479647203508 236.6282998441897 50 0 50 30.550727707416414 4.35475983962026 50 0 50 1642.7856 262.91543843324166 50 0 50 32.864578337676164 4.832524626348805
herbbookshelf1nom bitstar-default-sc04.00 04.00 50 0 50 9.705514071151999 0.39842449673263075 50 0 50 82218.14 13139.407982004333 50 0 50 34.364578337676164 4.832524626348805 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 9.705514071151999 0.39842449673263075 50 0 50 9.705514071151999 0.39842449673263075 50 0 50 173.17124266403675 26.321605182625657 50 0 50 12.171420497804416 0.6400008213758073 50 0 50 336.6369712569217 52.59447670269405 50 0 50 14.637326924456831 1.0583704823687414 50 0 50 500.10269984980636 78.8683395463617 50 0 50 17.103233351109246 1.513401189162957 50 0 50 663.5684284426914 105.14245055590037 50 0 50 19.569139777761666 1.9799763371295476 50 0 50 827.0341570355762 131.41666088411117 50 0 50 22.035046204414087 2.4515133054194713 50 0 50 990.4998856284609 157.69092088604455 50 0 50 24.500952631066497 2.925613906947931 50 0 50 1153.9656142213453 183.96520927821607 50 0 50 26.96685905771891 3.4012062614943326 50 0 50 1317.4313428142311 210.23951541657595 50 0 50 29.432765484371327 3.877741531968325 50 0 50 1480.8970714071154 236.5138333868556 50 0 50 31.898671911023747 4.3549101941484984 50 0 50 1644.3627999999999 262.78815964008675 50 0 50 34.364578337676164 4.832524626348805
