lambda-u utility-finmean utility-stderrfinmean
0.0 4.2174425416467995 0.1074488132840247
0.1 3.929708750243036 0.10573860787823339
0.2 3.6419749588392722 0.10421921157736191
0.3 3.354241167435508 0.10289907712650093
0.4 3.0665073760317445 0.10178595792673355
0.5 2.778773584627979 0.10088670643121664
0.6 2.4910397932242163 0.10020708050787996
0.7 2.203306001820452 0.09975156930688117
0.8 1.9155722104166881 0.09952325014968526
0.9 1.6278384190129236 0.09952368666516861
1.0 1.3401046276091604 0.0997528758502482
