lambda-u utility-finmean utility-stderrfinmean
0.0 6.064959324470401 0.2636569164912289
0.1 5.575044878725301 0.2378472424745667
0.2 5.0851304329802 0.21207052702861443
0.3 4.595215987235099 0.18634044826064894
0.4 4.105301541489999 0.1606794119484863
0.5 3.6153870957448997 0.13512675801849736
0.6 3.1254726499998005 0.10975820964016378
0.7 2.6355582042547003 0.08473927646956371
0.8 2.1456437585095998 0.06050522218868859
0.9 1.6557293127644996 0.03856520958022163
1.0 1.1658148670194002 0.02568901341384442
