lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.498612646656401 0.022732995458987132 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 3.46476489031061 0.020570984644156957 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 3.16139804449858 0.050357889922798965 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 2.8487401743360694 0.04447682527935132 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 2.53608230417356 0.03863198617819061 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 2.2234244340110503 0.032842718902408675 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 1.9107665638485403 0.027144603025686526 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 1.5981086936860303 0.021609863989168133 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.28545082352352 0.016404707541658212 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 0.97279295336101 0.011967209244978004 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.6601350831985 0.009449085902223195 0.0 larastar-haltonoffdens10000,1.0-sc00.00
