lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.726457760000001 0.45568964601598927 10.0 rrtconnect-default-sc10.00
0.1 6.477517921781852 0.5622024509800343 2.5 rrtconnect-default-sc02.50
0.2 7.020363363563706 0.650230879601494 2.5 rrtconnect-default-sc02.50
0.3 7.465289469345555 0.815594814406478 1.6 rrtconnect-default-sc01.60
0.4 7.893551959127408 0.9717130347979908 1.6 rrtconnect-default-sc01.60
0.5 8.314525548909259 1.1860127831245073 1.0 rrtconnect-default-sc01.00
0.6 8.624245818691112 1.3602216509810996 1.0 rrtconnect-default-sc01.00
0.7 8.933966088472964 1.544848413014933 1.0 rrtconnect-default-sc01.00
0.8 9.218178630254817 1.7622169770699632 0.63 rrtconnect-default-sc00.63
0.9 9.286452108036668 1.953991935059025 0.25 rrtconnect-default-sc00.25
1.0 8.863126897818521 2.133607280028307 0.0 rrtconnect-default-sc00.00
