lambda-u utility-finmean utility-stderrfinmean
0.0 3.328403355706401 0.07311640202383762
0.1 3.40998436060136 0.06660122690837662
0.2 3.4915653654963195 0.060596066339304554
0.3 3.5731463703912794 0.05526742019671652
0.4 3.65472737528624 0.05082850444298126
0.5 3.7363083801812 0.047529260902381
0.6 3.8178893850761604 0.04561763989127176
0.7 3.89947038997112 0.0452697707734377
0.8 3.98105139486608 0.04652074668162738
0.9 4.06263239976104 0.04924888066808626
1.0 4.144213404655999 0.053227523628376315
