lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.463107339552201 0.07506268168860798 4.0 larastar-haltonoffdens10000,1.0-sc04.00
0.1 5.245291210627246 0.0892297393048369 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.2 4.931965604548696 0.08124173119966176 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.3 4.618639998470144 0.07349642132224725 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.4 4.260786097114871 0.08860942302878061 1.0 larastar-haltonoffdens10000,1.0-sc01.00
0.5 3.694714899332341 0.10719619615731528 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 3.120844070649927 0.09065562217485104 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 2.5469732419675157 0.07477516387735504 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.973102413285104 0.06008056568912681 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.3992315846026924 0.047681123663666766 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.8253607559202798 0.03978405049512316 0.0 larastar-haltonoffdens10000,1.0-sc00.00
