lambda-u utility-finmean utility-stderrfinmean
0.0 5.7915777412462015 0.10887829014373566
0.1 5.4589855904049776 0.1084152020670185
0.2 5.126393439563757 0.11168187799027879
0.3 4.793801288722535 0.11836992676027425
0.4 4.461209137881311 0.1279439295497209
0.5 4.128616987040091 0.13981226882362402
0.6 3.796024836198868 0.1534434872394028
0.7 3.463432685357646 0.16841006174324122
0.8 3.1308405345164236 0.1843871087525643
0.9 2.7982483836752015 0.20113397204224778
1.0 2.4656562328339793 0.2184736949896888
