lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.825398521148402 0.22119196161505092 10.0 bitstar-default-sc10.00
0.1 8.054944636156343 0.2654847446688337 4.0 bitstar-default-sc04.00
0.2 7.9059787519654074 0.2675421991596677 2.5 bitstar-default-sc02.50
0.3 7.898958427762051 0.37162990352335973 1.6 bitstar-default-sc01.60
0.4 7.607561500450295 0.44862455575800636 1.0 bitstar-default-sc01.00
0.5 7.08461563998942 0.4652291177229559 0.63 bitstar-default-sc00.63
0.6 6.551494392494783 0.490510243210827 0.4 bitstar-default-sc00.40
0.7 5.689095266417048 0.5216531740236374 0.0 bitstar-default-sc00.00
0.8 5.06669614033931 0.5550309912883258 0.0 bitstar-default-sc00.00
0.9 4.444297014261576 0.5902646869493747 0.0 bitstar-default-sc00.00
1.0 3.8218978881838397 0.6270414915105381 0.0 bitstar-default-sc00.00
