lambda-u utility-finmean-conloop
0.0 5.072782093116937
0.1 5.722121097540257
0.2 6.375869497965085
0.3 7.0350426242146185
0.4 7.700507297743188
0.5 8.3727111990214
0.6 9.051509434954218
0.7 9.736223187453808
0.8 10.425882421184742
0.9 11.11948174426164
1.0 11.81613638911227
1.0 11.20231296505893
0.9 10.557780938492437
0.8 9.910193590152218
0.7 9.258666152466029
0.6 8.602193233548503
0.5 7.939804798064202
0.4 7.270822027925291
0.3 6.595100030036747
0.2 5.913086484869159
0.1 5.225648213876863
0.0 4.533800546883062
