lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.541019680000001 0.10908977739056214 10.0 rrtconnect-default-sc10.00
0.1 4.509223569540648 0.11310284373668263 2.5 rrtconnect-default-sc02.50
0.2 4.302629331081295 0.11868470944419747 1.6 rrtconnect-default-sc01.60
0.3 4.078447976621944 0.11092163653045983 1.6 rrtconnect-default-sc01.60
0.4 3.854266622162592 0.10448961518720472 1.6 rrtconnect-default-sc01.60
0.5 3.49218194770324 0.131689931727286 1.0 rrtconnect-default-sc01.00
0.6 3.1755812572438886 0.1194736015928678 1.0 rrtconnect-default-sc01.00
0.7 2.8558873707845356 0.18922971263589652 0.63 rrtconnect-default-sc00.63
0.8 2.416984412325184 0.15355054684100955 0.63 rrtconnect-default-sc00.63
0.9 1.8496962618658321 0.1479897627273717 0.25 rrtconnect-default-sc00.25
1.0 0.9091784954064799 0.10459561577574539 0.0 rrtconnect-default-sc00.00
