lambda-u utility-finmean utility-stderrfinmean
0.0 3.3141611880605995 0.04727711875134947
0.1 3.1805973231684197 0.04257046479700506
0.2 3.04703345827624 0.037865006272356824
0.3 2.91346959338406 0.03316125206241349
0.4 2.779905728491881 0.028460047225135673
0.5 2.6463418635997 0.02376290489682836
0.6 2.51277799870752 0.019072826785329792
0.7 2.3792141338153403 0.014396718563596539
0.8 2.245650268923159 0.009754691209071865
0.9 2.11208640403098 0.005238149209216007
1.0 1.9785225391387997 0.0020293164022409335
