lambda-u utility-finmean utility-stderrfinmean
0.0 7.5705146151710005 0.06983143514773986
0.1 7.934571893506785 0.06255169907353467
0.2 8.298629171842572 0.0604866439322261
0.3 8.662686450178361 0.06414192424917275
0.4 9.026743728514141 0.07265928786875192
0.5 9.390801006849932 0.08458245146486677
0.6 9.754858285185719 0.09868456512050779
0.7 10.118915563521504 0.11416097847007883
0.8 10.482972841857288 0.13052374470751554
0.9 10.847030120193072 0.14747813456477002
1.0 11.211087398528857 0.16484169900829396
