lambda-u utility-finmean utility-stderrfinmean
0.0 3.1878672026092003 0.052013576842138746
0.1 3.0985336354816706 0.04729899399697577
0.2 3.0092000683541404 0.04261021802411414
0.3 2.9198665012266094 0.037956813837871695
0.4 2.8305329340990797 0.03335358965848906
0.5 2.741199366971549 0.02882459642761028
0.6 2.6518657998440203 0.024411185244597476
0.7 2.5625322327164906 0.02018929817010038
0.8 2.47319866558896 0.01630836429198519
0.9 2.38386509846143 0.013075584915509194
1.0 2.2945315313338996 0.011073946252759238
