lambda-u utility-finmean utility-stderrfinmean
0.0 9.705514071151999 0.39842449673263075
0.1 12.171420497804416 0.6400008213758073
0.2 14.637326924456831 1.0583704823687414
0.3 17.103233351109246 1.513401189162957
0.4 19.569139777761666 1.9799763371295476
0.5 22.035046204414087 2.4515133054194713
0.6 24.500952631066497 2.925613906947931
0.7 26.96685905771891 3.4012062614943326
0.8 29.432765484371327 3.877741531968325
0.9 31.898671911023747 4.3549101941484984
1.0 34.364578337676164 4.832524626348805
