lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 2.3669496406718 0.006940858491703571 10.0 bitstar-default-sc10.00
0.1 2.40188525169828 0.01597121912494482 1.6 bitstar-default-sc01.60
0.2 2.3625762126157603 0.01655122098463158 1.6 bitstar-default-sc01.60
0.3 2.31271506824458 0.05549726608723066 1.0 bitstar-default-sc01.00
0.4 2.1891991870604404 0.05196245132377817 1.0 bitstar-default-sc01.00
0.5 2.0656833058763002 0.04906423224994235 1.0 bitstar-default-sc01.00
0.6 1.90047215879296 0.07929429581319924 0.63 bitstar-default-sc00.63
0.7 1.69488009408362 0.06933241426369124 0.63 bitstar-default-sc00.63
0.8 1.42267137371864 0.07128265127768255 0.4 bitstar-default-sc00.40
0.9 0.9552464959472801 0.060820419416413495 0.0 bitstar-default-sc00.00
1.0 0.4481038999556 0.04742470446923874 0.0 bitstar-default-sc00.00
