lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.008344386608402 0.11933932328241069 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 6.026574534022631 0.13347159448601778 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 5.721346795577784 0.12806285702797357 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 5.329841407851974 0.142162462957408 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 4.938336020126166 0.15890934754263944 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.546830632400359 0.1775560191519851 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 4.155325244674553 0.19756528914800445 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.763819856948744 0.2185632433725554 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 3.372314469222936 0.24029083122185288 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 2.9808090814971275 0.26256698216533014 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 2.589303693771321 0.28526321356931117 0.0 larastar-haltonoffdens10000,1.0-sc00.00
