lambda-u utility-finmean utility-stderrfinmean
0.0 2.683262711797001 0.06886082729379805
0.1 2.5597468306128595 0.06403752913067473
0.2 2.4362309494287206 0.05955543193545726
0.3 2.31271506824458 0.05549726608723066
0.4 2.1891991870604404 0.05196245132377817
0.5 2.0656833058763002 0.04906423224994235
0.6 1.94216742469216 0.046920722066669925
0.7 1.81865154350802 0.0456383847930689
0.8 1.6951356623238802 0.045290428437627886
0.9 1.5716197811397408 0.04589810871799289
1.0 1.4481038999556004 0.04742470446923875
