lambda-u utility-finmean utility-stderrfinmean
0.0 10.4479099689684 0.49472106783037895
0.1 10.83359601427128 0.7170657659321915
0.2 11.219282059574162 1.1603226306523546
0.3 11.604968104877038 1.6556705042222233
0.4 11.990654150179921 2.1676881571652165
0.5 12.3763401954828 2.686862480978992
0.6 12.762026240785678 3.2097225664356457
0.7 13.147712286088561 3.7347207167464687
0.8 13.53339833139144 4.2610667241337215
0.9 13.919084376694313 4.788316127801034
1.0 14.304770421997203 5.316200143788295
