lambda-u utility-finmean utility-stderrfinmean
0.0 3.8932477560934 0.008612068649728861
0.1 4.535568274196678 0.007648180641203833
0.2 5.177888792299956 0.006783795608661053
0.3 5.820209310403232 0.006061631269423595
0.4 6.4625298285065105 0.005537611351438437
0.5 7.104850346609791 0.00527116499072713
0.6 7.747170864713065 0.005301273081639545
0.7 8.389491382816347 0.00562317412673002
0.8 9.031811900919624 0.006191522694757469
0.9 9.674132419022904 0.006946084821439298
1.0 10.316452937126183 0.007833231163467777
