lambda-u utility-finmean utility-stderrfinmean
0.0 4.833011179999999 0.18780230401711934
0.1 5.080766658279111 0.1739840087047726
0.2 5.328522136558219 0.17377362725377932
0.3 5.576277614837329 0.18721704015926993
0.4 5.824033093116441 0.21172924945828603
0.5 6.07178857139555 0.24399679993690448
0.6 6.3195440496746595 0.28136401695284274
0.7 6.567299527953768 0.3220606931082069
0.8 6.815055006232879 0.3649747640699927
0.9 7.062810484511991 0.40940954449507433
1.0 7.310565962791101 0.45491964146702973
