lambda-u utility-finmean utility-stderrfinmean
0.0 6.3442494948976 0.2659882589012671
0.1 7.6520014138471595 0.4812418069093768
0.2 8.95975333279672 0.7188594263126264
0.3 10.267505251746279 0.9624164109763902
0.4 11.575257170695838 1.2083265687188525
0.5 12.883009089645398 1.4553975815783522
0.6 14.19076100859496 1.7031243112272811
0.7 15.498512927544521 1.9512570291378135
0.8 16.80626484649408 2.1996583469400637
0.9 18.11401676544364 2.4482465088310654
1.0 19.421768684393196 2.696969849290301
