lambda-u utility-finmean utility-stderrfinmean
0.0 6.910964178225599 0.1544544748550318
0.1 6.414401786548983 0.14294258047527944
0.2 5.917839394872365 0.13182630610368032
0.3 5.421277003195746 0.12121454453477137
0.4 4.9247146115191285 0.11125175859474902
0.5 4.428152219842509 0.10212805164056507
0.6 3.931589828165892 0.09408783784949536
0.7 3.4350274364892743 0.08743054779829135
0.8 2.9384650448126566 0.08249168020623095
0.9 2.441902653136038 0.07959177769095384
1.0 1.9453402614594202 0.07895582313285536
